id,name
36v4-xsse,National Post-acute and Long-term Care Study Adult Day Participant File
372p-dx3h,"Daily Census Tract-Level Ozone Concentrations, 2011-2014"
373s-ayzu,"PLACES: Local Data for Better Health, Census Tract Data 2021 release"
37nu-tuw8,Development of an Empirically Derived Measure of Food Safety Culture in Restaurants
37ui-3igt,Systemic toxicity induced by topical application of heptafluorobutyric acid (PFBA) in a murine model
38b4-r9iv,trails_lines
39z2-9zu6,"United States COVID-19 Hospitalization Metrics by Jurisdiction, Timeseries – ARCHIVED"
3ahs-wye3,National Adult Tobacco Survey (NATS) Glossary and Methodology
3apk-4u4f,"Provisional COVID-19 Death Counts by Age in Years, 2020-2023"
3bix-jq57,"NNDSS - TABLE 1MM. Viral hemorrhagic fevers, Crimean-Congo hemorrhagic fever virus to Guanarito virus"
3bjr-fr6m,"Impaired Driving Death Rate, by Age and Gender, 2012 & 2014, Region 8 - Denver"
3bmy-cyyd,"Monthly Cumulative Number and Percent of Persons Who Received 1+ COVID-19 Vaccination Doses, by Season, Age Group, and Jurisdiction, United States"
3c7d-6fm8,"Table for STATE System Smokefree Indoor Air - Private Worksites, Restaurants, and Bars"
3cfg-ckag,Elk Creek Seismic Waveforms 2011 (Part 1 of 19)
3crz-97tw,Cancer Research Citation Search
3cxc-4k8q,"Percent Positivity of Respiratory Syncytial Virus Nucleic Acid Amplification Tests by HHS Region, National Respiratory and Enteric Virus Surveillance System"
3daf-8gde,Restricted-Use National Survey of Family Growth (NSFG)
3fqr-d2gq,Elk Creek Seismic Waveforms 2012 (Part 12 of 20)
3g9b-sxea,Evaluation of A Passive Back-Support Exoskeleton in Bed-to-Chair Patient Handling Tasks
3h4m-i8xf,"Circular RNA hsa_circ_0008726 Targets the hsa-miR-206-3p/KLF4 Axis to Modulate 4,4’-Methylene Diphenyl Diisocyanate-Glutathione Conjugate-Induced Chemokine Transcription in Macrophages"
3h58-x6cd,NCHS - Teen Birth Rates for Age Group 15-19 in the United States by County
3hwj-hqmh,CDC PRAMStat Data for 2000
3ix4-m2h6,The ETS domain-containing hematopoietic transcription factor PU.1 mediates the induction of arachidonate 5-lipoxygenase by multi-walled carbon nanotubes in macrophages in vitro
3j26-kg6d,Long-term Care and COVID-19
3kjq-j5dm,"Smoking-Attributable Mortality, Morbidity, and Economic Costs (SAMMEC) - Smoking-Attributable Expenditures (SAE) Glossary and Methodology"
3m2r-fh4s,State-Level Restrictions on Vaccine Mandates – All
3myw-4j4q,"Cumulative Influenza Vaccination Coverage by Race/Ethnicity and Age Group, NIS-ACM"
3nij-2pw6,"NNDSS - TABLE 1PP. Viral hemorrhagic fevers, Sabia virus to Zika virus disease, non-congenital"
3nnj-6kcn,dhds_dataset
3nnm-4jni,United States COVID-19 Community Levels by County
3nzu-udr9,"Normal weight, overweight, and obesity among adults aged 20 and over, by selected characteristics: United States"
3pbe-qh9z,"COVID-19 Primary Series Completion, Booster Dose Eligibility, and Booster Dose Receipt by Age, United States "
3q3z-9ucr,Healthy People 2020 Final Progress by Population Group Chart and Table
3qs9-qnbs,"U.S. State and Territorial Gathering Bans: March 11, 2020-May 31, 2021 by County by Day"
3rge-nu2a,Rates of COVID-19 Cases or Deaths by Age Group and Vaccination Status
3se3-rwj2,"Impaired Driving Death Rate, by Age and Sex, 2012 & 2014, Region 9 - San Francisco"
3sh4-uqpm,AH Sickle Cell Disease Provisional Death Counts 2019-2021
3svv-v5nh,"NNDSS - Table 1D. Arboviral diseases, Western equine encephalitis virus disease to Babesiosis"
3ts8-hsrw,"AH Provisional COVID-19 Deaths by Educational Attainment, Race, Sex, and Age"
3vip-nfaa,Elk Creek Seismic Waveforms 2012 (Part 18 of 20)
3x54-3thk,2020 Final Assisted Reproductive Technology (ART) Success Rates
3yf8-kanr,"Weekly Counts of Deaths by State and Select Causes, 2014-2019"
42jj-z7fa,"U.S. State and Territorial Public Mask Mandates From April 10, 2020 through July 20, 2021 by County by Day"
42pu-ymxu,National Hospital Care Survey (NHCS) linked to Centers for Medicare & Medicaid (CMS) 2014-2018 Medicare Data
44rk-q6r2,NCHS - Drug Poisoning Mortality by State: United States
45b4-9j7u,NNDSS - Table I. infrequently reported notifiable diseases
45cq-cw4i,CDC Wastewater Data for RSV
45ib-prup,Elk Creek Seismic Waveforms 2012 (Part 9 of 20)
45um-c62r,"Rates of TBI-related Emergency Department Visits, Hospitalizations, and Deaths - United States, 2001 – 2010"
473a-5348,ASTDD Synopses of State Oral Health Programs - States with dental directors or statewide oral health coalitions
484g-ihkb,NNDSS - TABLE 1U. Legionellosis to Listeriosis
489q-934x,NCHS - VSRR Quarterly provisional estimates for selected indicators of mortality
48mw-5apu,Heart Disease Mortality Data Among US Adults (35+) by State/Territory and County
48tb-imas,Income-Related Disparities in Cigarette Smoking Among Adults
4ai3-zynv,"PLACES: Local Data for Better Health, Census Tract Data 2020 release"
4bc2-bbpq,"Provisional Percent of Deaths for COVID-19, Influenza, and RSV"
4bdk-kyzv,"Monthly Cumulative Number and Percent of Children <8 Months Who Received Nirsevimab by Jurisdiction, United States"
4bft-6yws,"NNDSS - Table 1E. Botulism, Foodborne to Botulism, Other (wound & unspecified)"
4bif-w52v,DASH GSHS - No Fast Food (2015)
4ckf-c7xz,Vaccination Data Update archive
4day-mt2f,"Mapping Injury, Overdose, and Violence - Census Tract"
4ems-va7k,Total Inward Leakage (TIL) for Respiratory Protective Devices
4ewf-ciy6,"NNDSS - TABLE 1C. Arboviral diseases, St. Louis encephalitis virus to Western equine encephalitis virus"
4g6p-3ed6,"Weekly Differences in Cumulative Influenza Vaccination Coverage by Selected Demographics and by Season 2025–26 and 2025–26 Compared with 2024–25 Among Adults 18 Years, Overall, by Selected Demographics"
4j6x-nm2a,Projectile Fluid Penetration and Flammability of Respirators and other Head/Facial Personal Protective Equipment (FPFPPE)
4jje-6vv6,"NNDSS - TABLE 1W. Meningococcal disease, All serogroups to Meningococcal disease, Serogroup B"
4khb-4xch,Environmental Antecedents of Foodborne Illness Outbreaks
4kiq-5hwz,Article Types
4m2e-y29d,"MicroRNA-Mediated Calcineurin Signaling Activation Induces CCL2, CCL3, CCL5, IL8 and Chemotactic Activities in 4,4’-Methylene Diphenyl Diisocyanate Exposed Macrophages"
4ntf-u76j,Race and Ethnic Disparities in Cigarette Smoking Among Adults
4q35-rqzk,"DQS Hospital admission, average length of stay, outpatient visits, and outpatient surgery by type of ownership and size of hospital: United States"
4qb4-rsd8,NNDSS - Table II. Rubella to Salmonellosis
4r3g-hv9c,Vision Service Plan (VSP) – Vision and Eye Health Surveillance
4r49-eadb,"Percentage of Drivers and Front Seat Passengers Wearing Seat Belts, 2012 & 2014, Region 6 - Dallas"
4rd8-s7gn,β-defensin-1 regulates influenza virus infection in human bronchial epithelial cells through the STAT3 signaling pathway
4t6w-ibvk,"NNDSS - TABLE 1E. Botulism, Foodborne to Botulism, Other"
4tme-u33f,"Weekly Differences in Cumulative Respiratory Syncytial Virus (RSV) Vaccination Coverage and Comparison, Overall, by Jurisdiction, Among Adults 75 Years and Older and Adults 50-74 Years with High-Risk Conditions"
4tmr-eik2,CDC Best Practices for Comprehensive Tobacco Control Programs - 2014 Glossary and Methodology
4u7c-2g4q,Influence of Impurities from Manufacturing Process on the Toxicity Profile of Boron Nitride Nanotubes
4ueh-89p9,"AH Deaths by Educational Attainment, 2019-2020"
4va6-ph5s,Provisional COVID-19 Deaths by Place of Death and Age
4vee-k8eu,Elk Creek Seismic Waveforms 2012 (Part 11 of 20)
4wzk-pwz3,A Projectile Concussive Impact Model Produces Neuroinflammation in Both Mild and Moderate-Severe Traumatic Brain Injury
4xf6-nrwk,Global Tobacco Surveillance System (GTSS) - Global Adult Tobacco Survey (GATS)
4y34-2pku,NNDSS - Table II. Babesiosis to Campylobacteriosis
4ya2-fkvt,CDC PRAMStat Data for 2008
4ynm-6jgm,"NNDSS - Table 1C. Arboviral diseases, St. Louis encephalitis virus disease to West Nile virus disease"
4yy2-qa9v,2020 Final Assisted Reproductive Technology (ART) Summary
4yyu-3s69,"Smoking-Attributable Mortality, Morbidity, and Economic Costs (SAMMEC) - Smoking-Attributable Mortality (SAM)"
4zc2-9ujh,Animal Contact Exhibits_Legal Epidemiology Research Procedure and Code Book_2016
4zxn-f9dq,"COVID-19 Cases Among Healthcare Personnel, by week - ARCHIVED"
52cr-rw4k,NNDSS - Table II. Salmonellosis to Shigellosis
52ds-xw49,"Weekly Cumulative Estimated Number of RSV Vaccinations Administered in Retail Pharmacies and Physicians' Medical Offices, Adults 50 to 74 Years and 75 years and older, United States"
52kb-ccu2,Respiratory Syncytial Virus Laboratory Data (NREVSS)
52kh-2h7i,"NNDSS - TABLE 1AA. Poliovirus infection, nonparalytic to Psittacosis"
533q-q3rp,ARPSP IQVIA Antibiotic Use
53g5-jf7x,"Provisional Percent of Deaths for COVID-19, Influenza, and RSV by Select Characteristics"
53mp-bpbv,NCHS Research and Development Survey (RANDS) Round 3 Restricted File
53z7-6asy,"National Ambulatory Medical Care Survey: Electronic Medical Records Supplement, 2008-2011, Restricted"
54ys-qyzm,Rates of COVID-19 Cases or Deaths by Age Group and Updated (Bivalent) Booster Status
5522-8u8z,Elk Creek Seismic Waveforms 2011 (Part 5 of 19)
5586-cehn,National Survey of Residential Care Facilities - Restricted Resident-Level Dataset
55k8-ajvf,"National Ambulatory Medical Care Survey, Health Center Component, Preliminary Estimates dashboard"
55uq-699y,"Weekly Cumulative RSV Vaccination Coverage, by Race and Ethnicity, Medicare Fee-For-Service Beneficiaries aged ≥65 years, United States, Data Source: Centers for Medicare & Medicaid Services Chronic Conditions Warehouse"
55yu-xksw,Heart Disease Mortality Data Among US Adults (35+) by State/Territory and County – 2019-2021
56mi-d4wu,NNDSS - TABLE 1GG. Smallpox to Streptococcal toxic shock syndrome
57qw-ifet,Global Tobacco Surveillance System (GTSS) - Global Youth Tobacco Survey (GYTS)
58s6-s24x,Diabetes State Burden Toolkit - Economic Burden
5amh-5sx3,Behavior Risk Factor Surveillance System (BRFSS) Glossary and Methodology
5avu-ff58,NNDSS - Table II. Tuberculosis
5b7j-usbu,Lung Toxicity Profile of Inhaled Copper-Nickel Welding Fume in A/J Mice
5bep-4fv6,Effects of antimicrobial chemical exposures on influenza vaccination and antiviral immunity
5biu-jjj3,V-safe COVID-19 MedDRA coded text responses
5c6r-xi2t,"Weekly Respiratory Virus Vaccination Data, Children 6 Months-17 Years and Adults 18 Years and Older, National Immunization Survey"
5cg4-4qqe,NCHS Survey Data Linked to Centers for Medicare & Medicaid Services (CMS) Medicaid Enrollment and Claims Files
5dm2-74uk,DASH YRBSS - Students who are Currently Sexually Active (HS)
5dqz-y4ea,CDC Epidemic Trends and Rt
5egk-p6rd,NNDSS - Table II. Chlamydia trachomatis infection to Coccidioidomycosis
5eh7-pjx8,Behavioral Risk Factor Surveillance System (BRFSS) - Mental Health Indicators
5ekf-pmct,BRFSS Prevalence And Trends Data: Health Care Access/Coverage for 2011
5fpb-puxz,Triplicate IRMA Influenza Calibration Data from 2015
5fyu-rtk3,NNDSS - Table I. infrequently reported notifiable diseases
5gu7-u3bj,"Table for STATE System Preemption on Licensure, Smokefree Indoor Air, and Youth Access Interactive Map"
5h56-n989,U.S. Life Expectancy at Birth by State and Census Tract - 2010-2015
5hns-mwci,Global Tobacco Surveillance System (GTSS) - Global School Personnel Survey (GSPS)
5hpj-p74g,Tuberculosis Epidemiologic Studies Consortium (TBESC)-II Part A: Comparison of the Tuberculin Skin Test and Interferon-Gamma Release Assays in Diagnosing Infection with Mycobacterium tuberculosis and Prediction of Progression to Tuberculosis Disease
5hvx-krph,"NNDSS - TABLE 1T. Invasive pneumococcal disease, Age<5 years, Confirmed to Legionellosis"
5i5k-6cmh,"COVID-19 Vaccination Age and Sex Trends in the United States, National and Jurisdictional"
5iuf-feyd,"Prolonged Unplanned School Closures: USA, 2011-2019"
5jp2-pgaw,Vaccines.gov: COVID-19 vaccinating provider locations
5mtz-k78d,"500 Cities: Census Tract-level Data (GIS Friendly Format), 2016 release"
5nfe-wsjn,"NNDSS - TABLE 1OO. Viral hemorrhagic fevers, Machupo virus to Viral hemorrhagic fevers, Sabia virus"
5nuu-6upy,"Motor Vehicle Occupant Death Rate, by Age and Sex, 2012 & 2014,  Region 10 - Seattle"
5p6r-d32s,"Percentage of Adults Who Report Driving After Drinking Too Much (in the past 30 days), 2012 & 2014, Region 5 - Chicago"
5pe9-px25,"NNDSS - Table II. Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection to Ehrlichia chaffeensis infection"
5pqj-rvh4,NHIS Teen
5qag-uzp2,CDC STATE System Tobacco Legislation Glossary and Methodology
5r7u-x99w,National Ambulatory Medical Care Survey (NAMCS) Health Center Component Linked to the Department of Housing and Urban Development (HUD) Housing Assistance Program Files
5svk-8bnq,National Health and Nutrition Examination Survey (NHANES) - National Cardiovascular Disease Surveillance System
5t5q-x9vs,Elk Creek Seismic Waveforms 2011 (Part 14 of 19)
5u84-m4rs,NHANES National Youth Fitness Survey (NNYFS) Restricted Data
5una-zw6e,"Influenza-related School Closures: USA, 2011-2022"
5wdd-3g8t,"NNDSS - TABLE 1A. Anthrax to Arboviral diseases, Eastern equine encephalitis virus disease"
5wqm-pm27,NNDSS - TABLE 1FF. Severe acute respiratory syndrome-associated coronavirus disease to Shigellosis
5xeh-g6yp,Elk Creek Seismic Waveforms 2011 (Part 15 of 19)
5xkq-dg7x,NORS
5y75-rs75,Respirator Performance against Nanoparticles under Simulated Workplace Activities Data
62a3-8df5,Inconsequential Role for Chemerin-Like Receptor 1 in a Manifestation of Ozone-Induced Lung Pathophysiology in Male Mice
62d6-pm5i,"U.S. State and Territorial Public Mask Mandates From April 10, 2020 through August 15, 2021 by County by Day"
62yv-gyiz,"NNDSS - TABLE 1T. Invasive pneumococcal disease, age<5 , Confirmed to Invasive pneumococcal disease, age <5, Probable"
637m-cvst,Elk Creek Seismic Waveforms 2011 (Part 3 of 19)
647a-wjd2,"U.S. State and Territorial Orders Closing and Reopening Restaurants Issued from March 11, 2020 through May 31, 2021 by County by Day"
64br-p84f,Dermal exposure to the immunomodulatory antimicrobial chemical triclosan alters the skin barrier integrity and microbiome in mice
65mz-jvh5,"AH Monthly Provisional Counts of Deaths for Select Causes of Death by Sex, Age, and Race and Hispanic Origin"
65xe-6neq,"NNDSS - Table II. Hepatitis (viral, acute)"
66i6-hisz,Botulism
66km-38zv,NCHS Research and Development Survey (RANDS) Round 3 during COVID-19 Restricted File
68ej-h5ze,"Impaired Driving Death Rate, by Age and Sex, 2012 & 2014, Region 5 - Chicago"
68sm-zh95,NNDSS - Table 1H. Cholera to Coccidioidomycosis
68zh-tyt3,University of Illinois at Chicago Health Policy Center - Funding Glossary and Methodology
6dep-qtzm,"NNDSS - TABLE 1K. Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection to Ehrlichia chaffeensis infection"
6i2x-3kw3,"Motor Vehicle Occupant Death Rate, by Age and Sex, 2012 & 2014, Region 5 - Chicago"
6ie8-bpiy,"NNDSS - TABLE 1HH. Syphilis, Congenital to Syphilis, Primary and Secondary"
6jg4-xsqq,Weekly Rates of Laboratory-Confirmed COVID-19 Hospitalizations from the COVID-NET Surveillance System
6jgb-zrsp,NNDSS - Table II. Spotted Fever Rickettsiosis to Syphilis
6jwg-4k37,"PLACES: ZCTA Data (GIS Friendly Format), 2024 release"
6k6h-dzju,National Survey of Residential Care Facilities - Restricted Facility-Level Dataset
6kf3-4udg,"NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human"
6mjs-pnrx,AH Provisional COVID-19 Deaths by Week and Age
6nbv-ifib,"Standardized Precipitation Evapotranspiration Index, 1895-2016"
6nqh-vaj5,"National Hospital Discharge Survey (NHDS) Restricted Data, 1965-2010"
6nue-dx9c,dataset_for_databricks_demo
6p3a-6xr9,"Cumulative Influenza Vaccination Coverage and Intent for Vaccination Among Adults 18 Years and Older by Age, Race/Ethnicity, and COVID-19 Vaccination and Intent, United States; IPSOS Knowledge Panel and NORC AmeriSpeak Omnibus Surveys."
6pdm-py4x,DQS National Post-Acute and Long-Term Care Users
6pnq-x3ea,NNDSS - TABLE 1FF. Severe acute respiratory​​​​​​​ syndrome-associated coronavirus disease to Shigellosis
6qm2-fbrx,dhds_dataset
6rkc-nb2q,NCHS - Age-adjusted Death Rates for Selected Major Causes of Death
6rpz-c2y5,NNDSS - Table II. Salmonellosis (excluding typhoid fever and paratyphoid fever) to Shigellosis
6rvp-rahv,DQS NHANES Select Chronic Conditions Prevalence Estimates
6ryw-hetw,2021 Final Assisted Reproductive Technology (ART) Patient and Cycle Characteristics
6svj-q4zv,Outpatient Respiratory Illness Activity Map
6tk5-h85s,NNDSS - Table II. Carbapenemase-producing carbapenem-resistant Enterobacteriaceae
6tkz-y37d,"NCHS - Birth Rates for Unmarried Women by Age, Race, and Hispanic Origin: United States"
6tmq-h6uy,"Percentage of Drivers and Front Seat Passengers Wearing Seat Belts, 2012 & 2014, Region 1 - Boston"
6tn6-vc33,"DQS Cholesterol in adults age 20 and older, by selected characteristics: United States"
6uy5-4d9d,"NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human"
6vp6-wxuq,"500 Cities: Local Data for Better Health, 2019 release"
6vqh-esgs,"AH County of Occurrence COVID-19 Death Counts, 2020 Provisional"
6vwk-ensg,DQS Estimate of Emergency Department Visits in the United States Footnotes
6wqg-8ykc,Automated oil vapor inhalation exposure system
6x7h-usvx,Heart Disease Mortality Data Among US Adults (35+) by State/Territory and County – 2016-2018
6yz5-ufy2,NNDSS - TABLE 1II. Tetanus to Trichinellosis
6zuv-bn3z,Survey Data - Restaurant Grading
735e-byxc,"Nutrition, Physical Activity, and Obesity - Women, Infant, and Child"
756r-h7vf,Just-in-time Elastomeric Training and Fit Testing (JET FIT)
759d-qk63,NNDSS - TABLE 1KK. Vancomycin-intermediate Staphylococcus aureus to Varicella morbidity
75b3-73qi,NNDSS - Table II. Spotted Fever Rickettsiosis to Syphilis
75vb-d79q,"AH County of Residence COVID-19 Deaths Counts, 2020 Provisional"
766v-ysx3,Mouse pulmonary response following solid surface composite dust inhalation
767a-qhkg,Water Fluoridation - Percentage of PWS population who receive fluoridated water
76u3-26ik,Video-Based 3D pose estimation for residential roofing-dataset
76vv-a7x8,NCHS - VSRR Quarterly provisional estimates for selected birth indicators
77uj-93ii,Elk Creek Seismic Waveforms 2011 (Part 19 of 19)
783t-9j9i,dhds_dataset
7873-6w4v,AH Provisional COVID-19 Deaths Counts by Health Service Area
7aq9-prdf,"DQS Death rates for heart disease, by sex, race, Hispanic origin, and age: United States from CDC WONDER"
7b9s-s8ck,"Rates and Trends in Heart Disease and Stroke Mortality Among US Adults (35+) by County, Age Group, Race/Ethnicity, and Sex – 2000-2019"
7cmc-7y5g,"PLACES: County Data (GIS Friendly Format), 2023 release"
7ctq-myvs,DQS NHIS Child Summary Health Statistics
7dk4-g6vg,Weekly United States COVID-19 Hospitalization Metrics by Jurisdiction – ARCHIVED
7e86-vpa7,Elk Creek Seismic Waveforms 2012 (Part 13 of 20)
7ecz-2gu3,"NNDSS - TABLE 1NN. Viral hemorrhagic fevers, Junin virus to Viral hemorrhagic fevers, Lujo virus"
7ehz-refy,Nerve agent exposure and physiological stress alter brain microstructure and immune profiles after inflammatory challenge in a long-term animal model of Gulf War Illness
7esm-uptm,TABLE III. Deaths in 122 U.S. cities
7gnu-j6js,"NNDSS - TABLE 1U. Leptospirosis to Listeriosis, Probable"
7jik-jwvu,"NNDSS - TABLE 1J. Dengue virus infections, Dengue to Severe dengue"
7jqv-mu8u,"National Electronic Health Records Survey, Public-use data: 2018, 2019, 2021"
7kht-czfj,"NNDSS - TABLE 1C. Arboviral diseases, St. Louis encephalitis virus to Western equine encephalitis virus"
7mbm-jety,NNDSS - Table II. Chlamydia to Coccidioidomycosis
7mra-9cq9,"2023 Respiratory Virus Response - NSSP Emergency Department Visit Trajectories by State- COVID-19, Flu, RSV, Combined"
7nbz-eajm,"Infant Protection Against Respiratory Syncytial Virus (RSV) by Maternal RSV Vaccination or Receipt of RSV Monoclonal Antibody, and Intent for RSV Monoclonal Antibody Receipt Reported by Females Aged 18-49 Years Who Have an Infant <8 Months During the RSV"
7njk-uncd,Nowcast Predictions for Local Transmission of Chikungunya Virus
7nwe-3aj9,"The Tax Burden on Tobacco, 1970-2019"
7pb7-w9us,NNDSS - Table II. Lyme disease to Meningococcal
7pcd-2tnr,"NCHS - Pregnancy and Live Birth Rates, by Marital Status and Race and Hispanic Origin: United States, 1990-2010"
7pvw-pdbr,United States COVID-19 County Level Data Sources - ARCHIVED
7rci-qmm9,NNDSS - TABLE 1GG. Smallpox to Streptococcal toxic shock syndrome
7rih-tqi5,"CDC Text Corpora for Learners: MMWR, EID, and PCD Article Metadata"
7siw-u4fz,"DQS Health care employment and wages, by selected occupations: United States"
7ssk-h5k2,2004 National Nursing Home Survey - Restricted Facility Dataset
7vg3-e5u2,county-level ASD prevalence estimates
7vnz-2mjz,"NNDSS - Table II. Hepatitis (viral, acute)"
7xhe-mv2e,"NNDSS - TABLE 1V. Malaria to Measles, Indigenous"
7xva-uux8,"NSSP Emergency Department Visits - COVID-19, Flu, RSV, Combined – by Demographic Category"
7xvh-y5vh,"U.S. State and Territorial Gathering Bans: March 11, 2020-August 15, 2021 by County by Day"
7ym9-zzt7,NHIS—Teen Restricted Use File
7yww-23y7,BRFSS: Graph of Current Prevalence of Diabetes
7zky-in8p,"Percentage of Adults Who Report Driving After Drinking Too Much (in the past 30 days), 2012 & 2014,  Region 10 - Seattle"
8235-5d73,Water Fluoridation Statistics - Percent of PWS population receiving fluoridated water
82ci-krud,Weekly United States COVID-19 Hospitalization Metrics by County (Historical) – ARCHIVED
82nv-dn3y,"NNDSS - TABLE 1HH. Syphilis, Congenital to Syphilis, Primary and Secondary"
82ug-d8mh,Elk Creek Seismic Waveforms 2012 (Part 15 of 20)
8396-v7yb,United States COVID-19 County Level of Community Transmission as Originally Posted - ARCHIVED
83hz-w2t5,Table of Medicaid Coverage of Treatments (Lung Association Cessation Coverage)
83mw-v57c,DQS NPALS Footnotes
83ng-twza,"Weekly Cumulative Estimated Number of Influenza Vaccinations Administered in Pharmacies and Physician Medical Offices, Adults 18 years and older, United States"
847z-pxin,"Daily Census Tract-Level Ozone Concentrations, 2011-2015"
84rx-ksgd,"Lyme disease public use aggregated data with geography, 1992-2007"
8592-cnvk,Benin_GANC_BehavioralData
87ea-ip25,NIOSH Health Hazard Evaluation Program Noise Measurement Database
88eg-qzed,CDC STATE System E-Cigarette Legislation - Preemption Summary
89qs-mr7i,"Monthly COVID-19 Death Rates per 100,000 Population by Age Group, Race and Ethnicity, Sex, and Region"
89x6-rgq5,hcp_influenza
89yk-m38d,NCHS - Natality Measures for Females by Race and Hispanic Origin: United States
8ame-63pc,"Monthly Nirsevimab Receipt and Intent Among Females Aged 18-49 Years Who Have a Baby <8 Months, Are Currently Pregnant, or Are Trying to Get Pregnant, United States"
8bda-nhxv,Active Bacterial Core surveillance (ABCs) Neisseria meningitidis
8cyw-fici,"NNDSS - TABLE 1L. Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection to Giardiasis"
8d5q-43rv,Elk Creek Seismic Waveforms 2012 (Part 4 of 20)
8dyx-9z99,"Cumulative Influenza Vaccination Coverage by Race/Ethnicity and Age Group, NIS-ACM (Archived)"
